,query,intent
832,"show me some options for new credit cards that i can apply for, please",91
576,rolling over my 401k help,100
1583,my card isn't working because its destroyed,87
1813,do you work for a different employer,57
2737,can you help me add the song i listen to to my clutch playlist,141
1144,can you find me an uber and have it here at 7pm,39
1263,tell my bank that i'm travelling to france in 2 days,146
2778,can you tell me a joke about a lawyer,36
840,who do i contact for lost luggage,113
269,"after losing a credit card, how long does it take to get a new one",90
2577,how much is my xfinity cable bill,27
1757,what's the difference between usd and cad,38
2826,help me book a car rental in chicago for april 1st to 3rd get me an suv if possible,40
2550,let carl know that he sucks,26
3080,is it bad to not remember your dreams,42
3030,find out for me as to why people get autism,42
810,where's my credit score,69
179,i have a vacation request that i need made,97
3085,do ducks sleep,42
284,what is the time in london,4
1272,from april to may i will be in america so i need to notify my bank,146
344,can you flip a coin i pick heads,33
2142,you need all five answers,136
1,"in french, how do i say, see you later",61
2706,when will my visa expire,44
1556,how long do i have to pay that bill,56
166,i need to make a vacation request; how,97
1738,when should my car's tires be changed,47
670,i don't want to hear this song; skip it,118
482,help me reserve a table for 3 at lucky's under the name crystal at 8 pm,23
1884,was the order delivered,84
1390,can you set a reminder for me,53
123,help me find my phone please,81
1858,how long would the wait at the restaurant be,102
1769,do we get monday off as a holiday,140
1345,how many days before milk expire,54
1339,i need you to roll a dice that has six sides and tell me what it lands on,92
2611,how do i cash in credit card points,6
1195,what date will it be 5 days from now,95
150,are there any travel alerts for antarctica,128
1404,if i lost my card how do i report it,12
3033,is it true that nicotine is harder to kick than heroin,42
2372,"good morning, ai",82
2871,i am bored and need new dinner recommendations,46
2809,how many birthdays have you had,99
1655,what do you have in the way of pets,34
2615,how to cash in visa card rewards,6
2448,how much interest am i getting percentage wise from chase,7
977,do you know my health benefits,74
1210,what are carry-on rules for jet blue,62
871,repeat that once more,13
900,when is it time to change your oil,123
99,why are humans on earth,22
1353,how do i know if my milk is expired,54
556,i need a block placed right away on my joint checking account,20
1032,would you talk a bit faster instead,119
186,how can i build up my credit score,28
2901,what's my income from work,93
2413,do you mind if i ask your name,75
389,let me know when you were made,77
742,can i get some funds to pay my utility bill,111
2836,do you have a car rental in new york from june 6th to june 9th,40
2576,how much do my bills cost this month,27
1741,what's the exchange rate betwen usd and euros,38
2502,can you find me a flight from denver international to new york international on the 4th for under 700 dollars,63
2022,do i have any meetings on my calendar today,19
1917,tell me the pin number to my card,89
550,place a hold on my chase money market market account at once,20
2320,where is the closest subway entrance to me to go to brooklyn,72
896,get me info on my mpg,142
2922,"since i ran out , order more bread",16
1206,what's the carry on policy for delta,62
843,howcan i locate my luggage,113
1688,what kind of fuel does my car use,8
2808,what you age on your last birthday,99
300,what is the present status of my credit card application,103
2961,can i order new checks since i am out,127
983,remove my todo list,65
434,what kind of information do you know,115
1605,what are the ratings for yardhouse,0
1397,can you set a reminder for the current time tommorow,53
2956,what kind of traffic can i expect on the way to church,24
1537,where would i find my w-2,122
1343,is cooked chicken still good after being refrigerated for two weeks,54
2007,when was the last time i took my car in,37
2264,"if i travel there, do i need a visa",59
1618,tell me if boston restaurant has good reviews,0
1530,where will i find my w-2,122
2128,"i need a suite that can accommodate 3 adults and 1 child in san diego for may 15th, 16th, and 17th",116
814,how can i request my credit score,69
2590,"send my current location to steve, please",58
731,how do i check my rewards for my maurices card,50
586,who are you manufactured by,96
1597,my card was destroyed when my house burned down and i need a replacement,87
2498,which hobbies do you like,15
240,when's the next time i get paid,79
1703,in france do they require socket conveters,120
2938,purchase me the kyrie 4s,16
2348,how do you spell umbrella,73
480,please reserve a table for 2 at lucky's under the name melissa at 7 pm,23
738,how many points have i earned with my amex card,50
49,please set a timer to go off in 45 minutes,32
1079,"no, that's not right",30
1020,can you speak more slowly,119
1542,what day is my telephone bill due,56
2722,add song to my hype playlist,141
100,explain how do i get new insurance,64
1902,i want to change the pin number on my credit union account,89
2188,what is my tax burden,94
3060,what'll an education at boulder state college run,42
1564,inform me of the calorie content of vanilla ice cream,135
1075,absolutely not,30
2087,i need kilograms to milligrams,31
337,what time does my flight board,80
808,how bad is my current credit score,69
1735,when is it time for a tire change,47
710,i would love to find a few vegan restaurants in back bay,145
330,for flight dl123 what's the status,80
1742,how much is $1 usd worth in euros,38
1448,can you get a call started to martha,25
2341,how do you spell dessert,73
1015,what is it i wanted to bear in mind,76
230,speak arabic,29
1491,did i make a note on my todo list to mop the bathroom floor,48
2815,what is your date of birth,99
2177,what's the chance of rain,5
807,who tracks my credit score,69
375,my name is nick,144
462,how to change oil of a car,3
2088,how do i convert a cup to ml,31
2139,book a motel in uptown from march 3 to march 4,116
1231,what is the amount of pto have i used,148
2884,can you give me instructions on how to make alfredo,104
25,move a dollar from my checkings to my savings,133
2056,what ingredients do i need for shrimp scampi,112
1451,initiate a call to robert,25
1760,what day is the next holiday,140
1304,thank you for the help,124
2797,can you have your name changed to fred,55
131,i have lost my phone,81
3027,are androids expensive,42
581,what company is responsible for your design,96
1318,special thanks to you,124
146,are there any travel alerts for seattle,128
2672,would you be classified as a bot,117
2716,in what month does my credit card expire,44
931,confirmed,107
1361,how long do i need to cook chili for,86
1011,what is on my to do list,76
2749,i'd like to cancel my reservation for 5 at hoss's steak house,67
56,set up a 52 minute timer,32
2487,what hobbies do you have,15
1591,"when my house burned down, so did my card",87
2671,are you an actual human,117
1301,thanks for helping me,124
3073,how does a democracy work,42
254,what date is the next payday,79
1784,i want your volume lowered,150
2032,do i have any meetings coming up with dan,19
1713,what electrical plug do they use in the uk,120
856,what am i supposed to do if i lost my luggage,113
2302,how many hours of vacation have i saved up,126
461,way to change car oil,3
463,how can i change car oil,3
1203,are more than one carry on allowed at klm,62
549,i need you to act swiftly and freeze all activity on my capital one checking,20
2180,how much money a year do i spend in taxes,94
1779,when is the next holiday in this country,140
1627,what would wells fargo use as routing,45
2393,can you now please go back to the original settings,88
1940,my account looks to be blocked and i have no idea why,2
392,where are you from oroginally,77
2301,how many vacation days do i have at my disposal,126
2280,is it necessary to get a shot for travel to india,52
1629,i need to know what routing number i should use for ally,45
957,what to do in minneapolis,149
2039,please tell me my meeting schedule,19
1550,when do i need to pay my car insurance bill by,56
65,what does unsavory mean,139
3066,are there any cybersecurity jobs available in pittsburgh,42
2539,did i remember to put eggs on my shopping list,43
412,i'm out of paper towels so will you put that on my shopping list,125
656,what's the timezone over there,66
2920,order more bread please,16
1690,my vehicle needs what kind of fuel,8
1634,i want to know what the routing is for chase,45
1669,schedule my meeting with jim at 3pm,18
470,what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,3
306,has my credit card application processed yet,103
2522,can you read the things to me that are on my shopping list,43
2823,"can you get me a car rental for march 1st to 3rd in seattle, and i'd like a sedan if possible",40
2634,do you have any of the beatles music,106
1255,find out where i can schedule to get my car's tires checked,131
1573,what is the amount of calories that scrambled eggs has,135
1595,how can i get a new card that got melted in the sun,87
954,please do a search for entertaining activities for tourists in mexico city,149
2762,i want to hear anything you have that's funny,36
2096,how many ounces in a cup,31
752,submit full payment to chase for my visa bill,111
2535,check my shopping list,43
1582,my card is ruined and isn't working,87
2761,let me hear something funny,36
2274,do i need an international visa to get into italy,59
1439,can i use pepper instead of salt,134
320,when is my flight going to board,80
874,"i'm sorry, i didn't understand what you said",13
2244,stop it,147
1424,can i sub ketchup for mustard,134
2894,give me a good recipe for chicken parmesan,104
328,i would like to know flight dl123's status,80
1499,is cleaning the garage on my to do list,48
2458,whats the amount of interest i'm paying on my mortgage,7
1872,does bellagio allow you to do reservations,9
2098,how many teaspoons in an ounce,31
2844,how do i jump start a bad battery,17
438,what topics can you answer questions on,115
2471,can you help me change my credit limit,109
2683,should i a gas refill for my car at the next gas station,110
2094,how many gallons is 50 liters,31
1364,how long do i need to cook beef stew for,86
638,what is the name you would use for me,11
6,how do you say good bye in french,61
1604,how are those mcdonald's reviews looking,0
938,that's a yes,107
1734,when can i commute my tires next,47
2394,please revert to the original settings,88
1932,"thank you for the chat, goodbye",114
2259,eliminate,147
2711,when is my cards end month,44
1082,has the apr on my card changed and what is it now,132
2802,what's your birthday,99
2324,where is the closet bus stop to go to downtown dallas,72
52,create a timer that is set to go off after 25 mins,32
961,what benefits do i have for insurance,74
169,i would like to know if i can put a pto request in for march 19 to march 20,97
1000,please read my reminder list,76
1284,don't sync to my phone anymore,130
534,i'd like to confirm the 2:00 reservation for friday,85
10,i need to know how to say hello in france,61
342,"flip a coin, i choose heads",33
2492,what do you do for fun alexa,15
237,please change your response language to english,29
1375,how long should i microwave hot pockets for,86
2897,recipe for beef stroganoff,104
563,can my 401k rollover or not,100
1286,disconnect from phone,130
522,confirm four for my reservation at fiji,85
2553,inform carl that he is an awful human being,26
1941,it seems that my account is blocked and i'm not sure why,2
1258,help me find somewhere to schedule a check up on my car's tires,131
369,you can call me jason,144
1138,"check my calendar for march 4th 2019, please",60
140,is traveling to france safe,128
2297,do i have to get shots to enter cuba,52
43,10 minutes is what the timer should be set at,32
2037,how many meetings do i have today,19
1985,will i be charged if i use my card in russia,137
2155,what location is this,136
2693,how long before i'm on e,110
1938,goodnight,114
135,i need to know my phone's location,81
1639,where do i locate my routing number for my premium checking account,45
1077,"no, that's wrong",30
1752,how much is 1 dollar worth in country b's money,38
2879,give recommendations for thai food,46
1705,"i'm going to paris, what plug type do i need",120
24,move three hundred and fifty dollars from my citibank savings account to my chase savings account,133
1181,tell me the date,95
2958,can you give me a traffic update for a trip to the grocery store,24
1547,can you tell me the due date for the water bill,56
2987,tell me why my card was declined,49
1129,do i have plans on 12/03/2019,60
446,can't say,121
2580,give my location to stan,58
2046,what are the ingredients used in chicken curry,112
1892,i ordered new light bulbs online when will they get here,84
1444,can we call mark,25
311,can you check on the status of my credit card application,103
2661,i would like to know if you are a robot,117
216,show me trivia about cats,129
884,how's my gas mileage while driving through a city,142
687,what transactions have i accrued buying dog food,68
763,how much money have i recently spent on stuff,71
1485,what do i need to do,48
444,possibly either one,121
60,may i please have a definition for the work churlish,139
2978,i need to know how to order checks for my bank of america account,127
2241,stop please,147
2248,hey ai cancel it now,147
1893,when will the clothes i ordered online arrive,84
2574,what is the total amount i am going to have to pay in bills this month,27
2330,how do i get to the library by foot,72
1065,i would prefer not,30
315,can you check if my mastercard application has been reviewed yet,103
2763,i want to hear something hilarious,36
1942,my account appears to be blocked and i don't know why,2
520,please double check my reservations for six at mani,85
122,i need your help finding my lost phone,81
1570,how many calories does two bananas have,135
2777,tell me a funny joke about men,36
478,can you tell me how to change my oil,3
2933,please order an iphone7 for me,16
286,what time of day is it in london,4
660,i want you to skip past this song to the next track,118
901,how do you know if your oil needs changed,123
643,what timezone is honolulu in,66
2025,do i have any meetings today between 9 and 10:30,19
2485,what do you like to do in your free time,15
1049,is my tire pressure good,98
706,list a few pizza places that have seating near my current location,145
1865,let me know if grub burger takes reservations,9
1529,please tell me where to get the w2,122
350,please go ahead and flip a coin,33
2715,when do i need a new credit card,44
1653,do you own a cat or do you own a dog,34
2277,am i going to need a visa for traveling to canada,59
3020,can you tell me how to compute price per ounce,42
1025,can you slow down the rate at which you talk,119
355,please flip the coin over ai,33
546,please put a block on my regions account immediately,20
2951,what kind of traffic is on hwy 1 going to the downtown area right now,24
1729,figure out for me when i ought to change my tires next,47
2217,what's the minimum due for my electric bill,143
374,you shall address me as nick,144
3017,how do i compute the median of a set of numbers,42
2925,order an amazon gift card from amazon in the amount of twenty dollars,16
637,what do you want to call me,11
1099,do you know the apr on my chase credit card,132
936,the statement is true,107
2202,whats the minimum payment on my electric bill,143
2582,i would like brenda to have my location,58
1076,certainly not,30
677,can i hear the song after this one,118
672,i am needing the next song to be played,118
2474,i would like to change my credit limit,109
339,when is my flight boarding,80
2063,"looks like my card is being used by someone else, report it",70
405,"i'm out of cleaning supplies, remind me on my list",125
771,how much money did i spent on grocery recently,71
2100,could you tell me the temperature of the ac,10
130,do you know where my cellphone is,81
629,how is my name saved,11
2905,what was my income last year,93
2435,please assist me in linking my chase account to direct deposit for my paycheck,108
908,when do i need to change my oil next,123
2345,can you spell the word umbrella for me,73
2476,raise my credit limit,109
2055,"for pasta primavera, what ingredients will i use",112
2466,i would like to have my credit increased to 5000 dollars,109
1837,what's my credit limit,41
2805,what day were you born,99
2391,go back to default settings,88
2863,i would like you to give me a suggestion for a mexican meal,46
2164,i need to know the weather,5
191,how can i make sure that my credit score does not decrease,28
1430,i don't have butter can i use oil,134
2446,where do i go to get private client account's interest rate,7
639,what name is saved for me,11
1219,"how many carry ons can i take with spirit, going to tampa",62
1398,set a reminder for me to request time off,53
376,refer to me as nick,144
82,what do you think the purpose of life is,22
2659,"can you remove this event from my calendar, please",105
1118,is rice good for me,1
1240,i'd like an appointment at your earliest availability for an oil change,131
2650,"for friday, add a doctor's appointment to my calendar",105
84,what do you think our purpose is in life,22
655,is the timezone there different,66
1417,can you show me how to report a lost card,12
3067,how many firewalls should i have and what type,42
1196,what date will it be 7 days from now,95
1188,i need to know the date it will be 4 days from now,95
97,what do you think life is really about,22
2082,what is the correct amount of ounces in a pound,31
223,you must change your language setting to russian,29
2631,can you play the beatles,106
81,i want to hear what you think life's purpose is about,22
110,tell me how to change my policy,64
1615,does boston restaurant have favorable reviews,0
332,when is my flight expected to arrive,80
1348,after 3 days in the fridge is rice safe to eat,54
2351,tell me how to spell doctor,73
1558,is the bill due this week,56
2192,how much do i pay in taxes every year,94
293,what time is it in the pacific standard time,4
432,what are the different subjects that you know,115
2235,go into whisper mode,14
2899,tell me how to make ramen,104
454,either i am not sure,121
2237,enable whisper mode,14
1007,recall the things i wanted to remember,76
691,please tell me this month's transactions on my visa,68
2720,add this song to travel,141
2908,what's my work salary,93
1519,move over to the female voice,51
1951,i get an error message when i try logging in to capital one that says i'm locked out,2
715,what are some good ethiopian restaurants in queens,145
2282,do i have to get a shot for travel to taiwan,52
1701,does my tv need a socket conveter in ny city,120
2712,what month does my card stop working,44
2679,can you tell me what kind of life form you are,117
1261,let my bank know i'm going to be in russia for a month,146
3025,how can i root an android phone,42
1834,how much can i spend on my discover card,41
2620,let me hear the song sympathy for the devil,106
1521,who do i contact for a w2 form,122
631,in what form is my name saved,11
2906,what's my total income,93
276,what is the eta on getting a replacement card,90
1986,will i be charged if i use my card in china,137
2234,i need quiet; use whisper,14
2721,add song to media playlist,141
1412,amazon visa card is stolen,12
1829,i need to know the credit limit,41
1493,can you tell me if there is anything on my todo list,48
2113,set all doors to locked,10
2507,i want to find a flight for under 700 on the 4th from denver international to new york international,63
968,i am enrolled in what insurance plan,74
3,how do i ask about the weather in chinese,61
3064,what's the best crypto to buy in 2019,42
512,i am not sure if i have enough money in my chase account to buy a new dress,35
1136,is anything happening on march 4th 2019,60
650,which timezone contains the city of orlando,66
736,how do i check my rewards for my capital one card,50
1337,roll the dice now,92
2029,what time am i meeting with john,19
3093,what is the cheapest electric guitar,42
21,take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,133
3097,can you tell me some fake news,42
2662,you could tell me if you were real,117
349,flip coin ai,33
419,i'd like you to add oranges to my shopping list,125
1329,roll a 6 sided dice,92
1645,what types of pets do you keep,34
103,i want to get new insurance,64
252,how long has it been since i was paid,79
2331,how do i get to the bowling alley by foot,72
143,can i travel to france as far as safety goes,128
1297,connect with my phone,130
85,i'd like to know the meaning of life,22
1671,secure us a meeting room for 9am on friday,18
1534,where do i find my w-2 tax form,122
1577,how many calories are in a serving of deans french onion dip,135
1028,speed up your rate of speech,119
821,can you suggest a few credit cards that have good rewards points,91
519,can you tell me how much money i have i my bank accounts,35
1269,my bank needs to know that i will be traveling to spain soon,146
3065,how is crypto legal,42
1245,schedule an appointment for a tire check for me,131
847,what should i do if i lost my luggage,113
2858,can i get my car jumped for this dead battery,17
190,how should i go about improving my credit score,28
1624,i want to know the bofa routing number,45
981,wipe my todo list please,65
2892,recipe for traditional roast beef and gravy,104
1469,"set an alarm for four thirty tomorrow, please",83
540,may you stop a paymet on my account,20
1266,"on tuesday i will be leaving for tennessee and will not be returning until the twenty ninth, alert my bank of this",146
1314,"thanks, i appreciate it",124
987,erase my to do list,65
2913,how much is my salary,93
2891,i need a recipe for chicken cordon bleu,104
2350,how is doctor spelled,73
657,what's london's timezone,66
2402,your name is,75
2644,"you can remove the brithday party from my calendar fpr january 15, 2019",105
1954,tell me why i get an error logging in to my bank account,2
2537,shopping list,43
2954,tell me how the traffic is on rt 7 to the airport today,24
152,does mexico have any travel alerts i should know about,128
2567,what do my bills look like for amazon and netflix,27
2005,when was my last oil change,37
1436,will pepper work instead of salt,134
1403,i need to report a stolen card,12
354,please flip the coin,33
2328,how do i get to new york by bus,72
316,has my visa card application been approved yet,103
1109,can you tell me the nutrional info of a big mac,1
2927,order dog food from walmart,16
1431,is butter a substitute for oil,134
649,tell me the timezone for hong kong,66
877,can you repeat that please,13
676,change this song it sucks so bad,118
2881,show me popular sushi recipes,104
1124,what appointments do i have tomorrow after 1:00pm,60
543,can we stop my bank account,20
1692,what is the proper fuel type for my car,8
1838,what's the limit for my credit,41
1541,what day do i have to pay my leasing office bill,56
1400,i want to report a stolen card,12
224,you need to change your language setting to russian please,29
222,please change your language setting to russian,29
1628,is there a routing number for wachovia,45
225,change language please,29
3016,how can i keep my windshield from fogging up in winter,42
151,are there any travel alerts for mountain view,128
1399,can i have a reminder set up,53
1155,uber ride available from here to downtown,39
1607,are the ratings for yardhouse good,0
3047,can you tell me the latest georgia news,42
2783,can i change you name to gretchen,55
1187,would you let me know today's date,95
238,how can i change your response language,29
162,can you please request pto for march 2 and 3,97
1069,that is not factual,30
2286,do i need any vaccines before traveling to brazil,52
2867,what would you say is a good german dinner idea,46
1003,i want to hear my reminder list,76
3082,"do ducks eat meat, vegetables, or both",42
294,what is the time in paris now,4
2519,i'm striving to find a 2-way flight from jfk to dtw for w to july 3,63
1294,i need you to pair with my phone,130
244,which day is pay day,79
949,i want list of tourist destination for paris,149
108,i'd like to know how to make changes for my insurance policy,64
2829,could i get assistance booking a car rental in las vegas,40
1594,i ruined my card when it got washed,87
2530,did i forget to put protein shakes on my shopping list,43
1380,remind me to call my mom,53
1150,connect me with an uber,39
1972,what's the name of the song playing right now,21
2298,do i need to have any shots to visit chile,52
1443,let me call mark,25
1920,see ya!,114
1048,how is the car's tire pressure,98
2882,i need a pancake recipe,104
340,flip a normal coin,33
658,do you know london's timezone,66
697,what withdrawals were there on my account yesterday,68
1477,make an alarm for one and two in the morning,83
1553,tell me when my mastercard bill should be paid,56
1123,what is tuesday like on my calendar,60
1311,appreciated,124
1154,book uber from here to downtown,39
695,what items do i have on my amex card this month,68
184,will getting a credit card help my credit score,28
1997,"if i am in tulsa, will i get charged extra if i use my card",137
91,do you know the deeper meaning of life,22
2934,everything needs ordered off my list,16
305,pull up my credit card application's current status,103
1733,when could i get my tires changed next,47
115,can you help me switch to a new insurance plan,64
1199,what is the current date,95
1761,what holiday is coming up,140
2488,"when you have free time, what do you do",15
2774,what sort of jokes do you know,36
181,what will help my credit score,28
2208,tell me the least i can pay,143
231,speak navajo,29
748,pay my monthy mortgage payment,111
3070,how many countries in the world are democracies,42
1122,check what's on my calendar for tuesday,60
2201,what is the minimum payment,143
1810,do you work for a different individual,57
1792,please turn your volume up,150
2273,is an international visa needed for canada,59
2895,do you have any good ways to make tomato soup,104
2477,increase my credit limit,109
1039,could you talk a little faster,119
2979,who do i contact to order more checks for my td bank account,127
362,"from now on, refer to me as chuck",144
2388,i want a clean bootup to factory settings,88
2549,"send message to carl, you suck",26
207,give me a cool fact about potatoes,129
243,when do i get my paycheck,79
2595,give arianna my current location,58
1790,can you please turn your volume down,150
894,i would like to know the mpg for this car,142
119,"i need to change my insurance policy, how",64
2387,restore factory settings,88
1987,i wanna know if my capital one credit card have international transaction fees,137
1776,i would like to know when is the next holiday here,140
2606,what can i buy with credit card points,6
1242,i'd like to make an appointment to get my oil changed,131
129,where is my cellphone,81
114,how do i switch to a new insurance plan,64
292,what time is in over there in pacific standard time,4
2135,help me book a place to stay from may 2 to may 4 in tampa,116
1183,what day of the week are we on,95
2822,help me find a car to rent,40
910,when do i need to change my motor oil,123
1696,what octaine is recommended for this car,8
2850,can you tell me how to jump start a car,17
1047,how is the car tire pressure doing,98
2030,what time am i meeting john,19
2144,pass me my gps coordinates,136
1207,can you tell me delta's carry on policy,62
3001,a show on broadway,42
558,i want a block placed on my college fund account immediately,20
288,what time of day is it,4
1391,i need to set up a reminder for myself,53
905,when does my oil need to be changed,123
402,please add bananas to my shopping list unless i already did,125
530,i want to confirm friday's reservation at 2:00,85
1029,can you raise your speaking speed,119
1379,what time should i leave this in the oven,86
3000,set a warning for when my bank account starts running low,42
800,please lookup my experion credit score,69
895,what's the mpg of my car,142
2654,add to friday's calendar a doctor's appointment,105
2418,your name please,75
1839,i would like to know the limit for my credit,41
1831,what is my credit limit on my discover card,41
1724,at what point will i need to change my tires,47
96,what do you think we are on earth for,22
815,do you know my credit rating number,69
1453,call contact aj,25
939,affirmitive,107
2344,how to spell: dessert,73
1442,i want to call mark,25
1492,is my todo list free,48
1864,can i make reservations at spago in beverly hills,9
261,tell me the duration it takes to get a new cc,90
2994,why was my card declined just now when i tried to buy a jeep at carmax,49
2559,robbie needs to know aboutthis so would you text robbie to let them know,26
408,"i have no oranges, put them onto my list",125
1621,tell me chase's routing number,45
2746,cancel my reservation at osteria for our party,67
428,what all can i ask you,115
2205,what's the least i can pay towards this bill,143
1112,read me the nutrional info of a bag of lay's potato chips,1
1087,what is the apr on my first bank card account,132
1818,tell me who your boss is,57
98,do you think we have a higher calling,22
1606,do you know how the ratings are for yardhouse,0
617,what is the average time it takes to get to target in los angeles,78
1787,i want the volume at level 4,150
2806,what is your current age,99
1559,i need to know what day i need to pay my water bill,56
2770,could you tell me a good joke,36
1956,can you confirm my account's blocked and tell me why,2
2102,"the ac, could you tell me the temperature",10
826,i want to apply for a wells fargo credit card,91
518,how much money is in my bank accounts,35
2209,what is the minimum payment for comcast,143
1907,i can't remember my pin for my first national debit account,89
992,i'm finished with my to do list,65
3038,suo2,42
2967,i ran out of checks and need more ordered,127
2304,how many pto days are available,126
1793,turn down your volume please,150
1254,"my car's tires are due to be looked at, can you help me get an appointment for that",131
730,what is my old navy card's rewards balance,50
2123,could a hotel be booked for me in afghanistan at the zoo for the 10th to the 15th,116
176,what's the method for requesting a vacation,97
1418,i need the information on how to report a lost card,12
1778,when do we have free day,140
2569,how much do i owe on all of my bills,27
2246,cancel it,147
528,i would like to try and confirm that i have a reservation at outback for josh,85
2562,what is the total of my repair bill,27
663,"i dont want to hear this song, just play the next one",118
1267,my bank needs to be aware of my trip to spain,146
524,please double check on my reservations for buffalo wild wings at five for the game,85
37,take out of my checking 400 dollars and put it into my emergency savings account,133
2408,what's the name i should use to talk to you,75
1795,could you increase the speaker volume please,150
2695,how much gas do i need to get to buffalo,110
2289,must i have shots before i take a trip to canada,52
398,where did you come from,77
817,how high is my credit score,69
409,do i have peanuts on my shopping list if not please add it,125
2226,i want to be out of whisper mode,14
2593,share my location with steve,58
2332,how do i get to the fine arts center by foot,72
246,when am i paid or how often,79
726,tell me the points on my delta rewards card,50
1078,"no, that's not it",30
356,i'm wanting you to flip a coin,33
404,would you be willing to add bread to my shopping list if i haven't already,125
1719,which plugs does england use,120
2283,are shots required before traveling to brazil,52
1465,set my alarm for quarter after six tomorrow,83
2478,i'd like to increase my credit limit,109
1711,what kind of electrical plug do they use in the uae,120
2556,i want a text sent to bob saying i will be late,26
2416,what do you call yourself,75
1321,please roll a 10 sided die and tell me what number it is,92
537,please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,85
579,rollover my 401k assistance,100
489,book 3 under the name zebee at xenophobe,23
453,couldn't tell you,121
2073,i want to report fraudulent activity on my discover card,70
1384,remind me to write that letter,53
3014,where does the power steering fluid go,42
2377,how's it hanging,82
1958,find out why i can't log in to my bank of america account,2
1825,i have to know the credit limit,41
503,how much money do i have in my pnc account,35
1978,i need this song title,21
1320,i would like you to roll a dice,92
310,has my credit card application been approved yet,103
2701,tell me the expiration date on my visa credit card please,44
1847,how long is the wait at chipotle,102
666,i want you to skip this song,118
102,explain to me how do i get new insurance,64
2578,what is the amount i owe to clay electric,27
2368,hi what's up,82
500,do i have more than $100 in my pnc account,35
2398,set this to my factory settings,88
756,use my boa account to pay the cable bill,111
2669,can you tell me if you are a real live person,117
1970,name this song,21
973,what insurance plan do i have,74
1849,how long is the wait at chipotle right now,102
2455,what is the interest rate on my auto loan,7
1789,i need your volume increased,150
2939,aquire me them kyrie 4s,16
72,define ambivalence for me please,139
159,is it safe to travel to mexico,128
429,what are you capable of doing and answering,115
862,could that be repeated,13
2229,use your whisper voice,14
1068,i am saying no,30
592,who is the person responsible for creating you,96
1946,how did my bank account is frozen,2
2786,i will now call you adam instead of your old name,55
1488,is cleaning the outside windows on my todo list,48
2736,please add what i listen to to my lolla playlist,141
2185,what's the tax bracket for my income,94
2940,is there much traffic between here and work right now,24
366,"from now on, my name is tom",144
2420,how do i set up direct deposit for my first national account,108
2287,what shots do i need before going to africa,52
42,help me set a timer please,32
1730,tires should be changed when,47
257,when is the next payday,79
2955,what will the traffic be like if i headed out to work right now,24
1885,what is the status of my purchase,84
