,query,Response
1254,"We got into arguments, and we would break if off but start it back up again. We clicked, or so I thought. We are both married with problems in our marriage. We never have sex; we just send a lot of pictures back and forth and talk about doing things together. His wife found out, and he lied to her and didn't even refer to it as an affair. I can't stop thinking about him. We just click. I've been married for 16 years, and I've never liked anyone other than my husband. Now I like him, and we’ll never be together.","If you will ""never be together"" and in order to maintain this affair you need to deceive both of your spouses it seems unlikely that maintaining the affair will bring anything but heartbreak for everyone involved. There is obviously something that you are getting from this that you are not getting in your marriage. Maybe this is a cue that there is work to do on your marriage to try to make it more fulfilling and if that is not possible, then maybe you want something else for your life.  If you and your husband are willing, I would encourage you to do some therapy or counselling together.  You may enjoy this article to learn a little more about some factors that lead to connection or disconnection and that predict separation and divorce."
1621,I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. When I look people in the eyes I have voices that tell me to hurt them and if I don't stop looking at who I am talking to it gets so loud I can't hear what they are saying. I just stay away from people to avoid this. I look at people and think how I could hurt them. I feel like I am worthless and would be better off not in this world where I don't fit in. Every day I wake up it's like another day. Any info would be good.,"Sounds like you are dealing with a lot within your self which is causing you great pain.  I would suggest that first you get a full physical evaluation to make sure that you are ok physically.  Then getting a mental evaluation as well from a psychiatrist.  Seeing both would help rule out any physically or psychologically causes to your symptoms.    After getting these evaluations, your physician should be able to help guide you on what treatments would be the best to help with your everyday challenges your are facing.  Whether treatment includes medication and/or psychotherapist would be discussed.  Please consider doing both immediately so you can have the live you want everyday you wake up."
3282,I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky.  Is this normal? Should I still be feeling like this?,"Hello there.  You ask about being nervous and shaky walking in to your therapy session and want to know if its normal? ...  I realize there a few ways to look at this.  I presume you weren't anticipating feeling this way; and probably hoped to feel the opposite..  Well, my initial response is yes, sure, it can be within reason to feel this way.  Have you been in therapy before? Is this somewhat new? That could be part of the reason. But either way; new or not, I think when are entering into a meeting that holds potential evaluation of deep things about you and your heart and soul, it can cause anyone to tremble. The soul can be anticipating some things could be shaken up here, and it can feel scary to look at these things and then change.  Looking deep at our life can feel daunting and scary; so your response just might be regards to potential growth trying to happen.   OR, is there something about the therapist you don't feel confident about?  This too might be in play as a reason for your feelings...  Maybe you lack confidence in that therapist ?  Have you let your therapist know how you feel?  That would be good to explore...I would like to encourage you to look at these ideas.  Hope it helps.   Let me knowKindly,keithkeithcounseling.com"
2443,"I decided to stay and work it out. I just don’t want to sit on the couch. Other than that, I have been getting over the situation. I don't feel it is fair that she expects me to sit on that couch and won’t leave me alone about it. I can move on and continue to love, laugh, and play with my wife. I just don't want to sit on that couch.","Houston, It's normal for this kind of thing to be a trigger, so I get why you don't want to sit on it, but to keep refusing keeps the affair alive. Am I to assume that you can't afford a new one? Ideally, she buys you a new couch, but it certainly would be a gesture of love for you to do it too and it will help you both move forward. t will be interesting to see if there's anything else that keeps the problem alive after the couch is long gone. "
2038,How does a counselor decide when to end counseling sessions or to terminate working with a client?,"This is a question that is very specific to each person. There are definitely some variables, but I can give you some general ideas for when counseling might end:When a client has met all of their goals, at least to a degree when they feel that they no longer need to work on them with the assistance of a counselorSometimes a decision is made that a client is no longer benefiting from counseling at a certain timeSometimes clients have to remain in counseling in order to receive medication. This depends on agency policy, but sometimes it is a requirement. If the medication is necessary and cannot be prescribed by a primary care physician, frequency of sessions is usually decreased greatlyI'm not sure why you are asking this question, but it is also something that is often discussed at the beginning of treatment. Oftentimes ""discharge goals"" change as treatment progresses because more is known about clients, their goals, changes in their goals, and many other things. Changes are normal, but your counselor probably has discharge goals in mind, at least generally, from the beginning. I strongly encourage you to ask about it!"
2922,"I’ve been on 0.5 mg of Xanax twice a day for the past month. It hasn't been helping me at all, but when I take 1 mg during a big anxiety attack, it calms me down. I was wondering how I can ask my psychologist to up the dose to 1 mg twice a day without her thinking I'm abusing them. I just have very big anxiety attacks. Should I stay on the 0.5mg and deal with the attacks or should I ask to up the dose? I'm afraid she will take me off them and put me on something else.","Hello, and thank you for your question. While counselors work closely with medical providers, and sometimes have discussions about medications with people, we rarely make recommendations about how much or what type of medication a person should be taking. This is because prescribing and advising on medication is out of our scope of practice. The only exception would be if a counselor is also a physician, nurse practitioner, physician's assistant, etc. Having said that, I certainly understand that anxiety is a real serious problem that many folks struggle with. If you are currently not in therapy to help you with these panic attacks, you should consider it. Medications can be helpful for anxiety, and medications like Xanax may help for immediate relief, but they do nothing to deal with the root of anxiety and may not help with anxiety long-term. Therapists who have experience in exposure therapies would be good people to start with. Exposure therapy has good outcomes for people with anxiety disorders and panic attacks. If you are interested in speaking with your provider about the Xanax, I think explaining it the way you did on here is just fine. The provider will then decide if they feel comfortable increasing your medication. Please remember that medical providers are not trying to give people a hard time. Medications like Xanax really are highly addictive. The more you take, the more you may feel you need. The more often you may feel you need to use it. Depending on the frequency and amount of use, some people suffer serious withdrawal symptoms when they do not take the medication. It is a good idea to talk to medical provider about all of those things so that you can partner on right course of action to manage this anxiety. I certainly hope that you get some relief.... I know anxiety is awful.Robin J. Landwehr, DBH, LPC, NCC "
976,I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?,"Suicide is a very traumatic loss and affects survivors significantly. Everyone deals with their grief in different ways. One way I recommend to deal with the loss of a loved one is to write letters to them. Some people like to keep the letters in a jar, maybe fill the jar with sand so the letters are buried. I recommend writing the letters as often as you need to. You will notice over time the need to write the letters will decrease and the intense feelings of loss will decrease. I also recommend finding a survivors support group in your area. You can find more information on www.afsp.org."
689,"I told her that if daddy dies, we will never see him again. She started crying because I wouldn't make her daddy die.","Toddlers don't have the intellectual capacity to conceptualize.Better to find out why she wants daddy to die than explain the future consequences of death to your toddler.A person must be around 9, possibly 8 years old before absorbing the potential effects of an action taken in present time.Pretty much your toddler demonstrated to you here age appropriate and limited understanding of the loss of a parent, by crying that you weren't able to magically make her father disappear.Also, please pay attention and form your own opinions as to the reasons why your toddler would wish her father's death.She may be pointing out that the father behaves in frightening or harmful ways towards her."
3300,I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky.  Is this normal? Should I still be feeling like this?,"Well, it's generally okay to feel anxious or nervous about going into therapy, particularly in the beginning because the process of being open about what you are going through, much less to someone who you don't know well, can be anxiety-producing. It's also common to feel anxious when you are discussing something that is important, difficult to discuss, or you are making changes that are very difficult for you.The most important thing I can tell you, though, is to discuss with your therapist this idea that you feel nervous and shaky. Some anxiety can actually help to motivate or lead you toward change. There are also level of anxiety that can be counterproductive, so it's a good thing to discuss. Personally, I can tell you that I would want my clients to tell me about anxiety they feel 100% of the time. That opens the dialog to discuss whether it is the level of anxiety that they want to sit with and learn about in discovering more about themselves and their experiences and/or whether they would like to do something to lessen the feeling of anxiety.Thanks for writing here. If it caused anxiety for you to do so, I hope that feeling is diminishing for you, at least related to writing here."
1989,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","There is no such things as ""too  many issues"". Many of the issues cited here are connected. For example, in this case working on the sexual abuse will possibly address the depression, the anxiety, the self esteem. There may be some grief to process around the impact of the cancer. Our body, mind and spirit are parts of one system. They are interconnected.Addressing these issue are important so you can be relieved of the burden and feel more spontaneous and enjoy life even more."
2540,"I've been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.","Philadelphia, there is help out there. For your daughter's sake, start somewhere. Feelings are only that; your worst fears about who you are are only based on a few moments that haven't gone well. Depression is so treatable, but you have to seek treatment from a professional.Here's a quick exercise for you to do that can show you how therapy might work... fear is telling you the worst possible story of your life, right? So... if there was an opposite story...the very best story that someone could tell about you and your life...what would that be? Who would be telling it? Someone who loves you? Someone who was around you when you were that outgoing person? Someone who's been watching your life from the start? God? Write that best story. I dare you to give it as much credibility as the worst one. Therapy is often about helping people reject their ""worst stories"". I invite you to start exploring with a qualified therapist whatever barriers stand between you and your best life. I hope you reach out soon. :)"
1466,"I'm always listening to my husband, but it feels like he never listens to me.    How do I get my husband to listen to me instead of me listening to him all the time?","Does your husband want to listen to you?Find this out by asking him the question!This way you know whether the goal you'd like to reach is even possible.Some partners prefer that one person is the rule maker or the only one who is entitled to talk about themselves.If your husband tells you he wants to listen to you, or even that he does listen to you, then you can explain in detail the way you define ""listening"", which may be very different than his definition.Basically, no one can directly change someone into being more openminded.What is possible is to tell him your wishes, your willingness to be patient while he develops the habit of listening to you and point out that a relationship is more fulfilling when both partners feel they are receiving from the other one."
1153,"Every day for five years, my husband mentally abused me and said he will change. I have a child with him. I try so hard to stay strong for her, but at this point, I am completely broken. I am holding on to nothing but hope and have been for years. Is there any hope or am I wasting my time?","I think your own awareness will not allow you to continue in a bad relationship.Be glad something within you is telling you that there are better ways to be treated than how your husband does.For support and guidance in real time, look up the organizations in your area which help women to leave abusive relationships.You are not the first or only one and probably not the last woman who wants to leave an abusive partner.  Having guidance particular to you and your situation will help you move through what decisions to make as to how to leave this man."
1986,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","The most direct answer is no. I would venture to guess that several of the things you are feeling (symptoms) are connected. I would recommend a trauma counselor. You have several strengths (resources) that you are able to pull from and I would encourage you to focus on them as you deal with the issues you have placed on the back burner for so long. Sometimes people are afraid to address things because they feel or believe that they won’t be able to handle it. Compare it to a tornado. The storm has passed, but you are still in hiding for fear of the aftermath (the mess left behind). A good therapist is like a personal organizer to help you."
707,"I am divorced and happily remarried. Our blended family of children are in their 20s. My youngest, age 20, continues to call me crazy and favors her dad. He was abusive to me, and I left with injuries. He never wanted kids, and I did. He paid child support only through forced wage earners. Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom. I don’t deny them a relationship with their dad, but to be called crazy and then watch them hang out with him hurts me to the very core. I’m not sure how to handle this.","It sounds really difficult to know that your daughter may be ""choosing"" her dad over you, perhaps I can help by saying her intense emotional reactions towards you actually acknowledge how much safer and connected she feels towards you. We tend to have big emotions around those we care for most. I would suggest to let her know how hard it is to hear that, and sad it make you feel at times, and that this is hard for everyone. Expressing your feelings to here, will allow her to express hers too."
956,"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I am so sorry to hear about what happened to you! What you are describing is being in a state of shock. You haven't suddenly become a sociopath - this is a normal reaction to an event that is completely overwhelming. There are most likely too many feelings to feel right now, so your body in its wisdom is shutting them down. You absolutely can recover, and it would be really important to get some trauma counseling with a counselor who feels safe for you to talk with. This is not the kind of situation to try and handle totally on your own."
3388,How does a counselor decide when to end counseling sessions or to terminate working with a client?,"In my therapy practice the decision to end therapy is mutually made together with the patient.Otherwise, the person can end up with a sense of tremendous rejection and abandonment.The way you'll both know therapy is coming to a close is that the discussion will feel lighter and move easily.The person's mood will be better, they will smile more, sit in their seat in a more relaxed way, look more at ease, take better care of their appearance.One of the ways to end therapy is to gradually decrease the frequency of the sessions.Sometimes people who are in my practice start to come each three weeks, then monthly, then every three months.This gives a sense of security, friendliness, and casualness to the therapy, and de-medicalizes it as though the person was treated for a medical symptom and the symptom stops completely one day.Talk therapy is about life and life problems usually end gradually.I end my therapy in a way which mirrors the life process in which many interaction and situation problems show their effects gradually and show different effects over time."
